epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
99,4376.79,1.23225,1.06105,1.25936,0.70205,0.81291,0.79453,0.46287,1.46488,1.05701,1.54245,0.000212757,0.000212757,0.000212757
100,4420.71,1.22359,1.09105,1.25266,0.74536,0.82088,0.82403,0.49505,1.41848,0.99735,1.52391,0.000203591,0.000203591,0.000203591
101,4464.39,1.22064,1.09816,1.24728,0.7426,0.81244,0.81572,0.47988,1.45784,1.03503,1.55874,0.000194425,0.000194425,0.000194425
102,4507.8,1.17835,1.05664,1.23873,0.78026,0.80451,0.82821,0.50485,1.39841,0.98759,1.5091,0.000185259,0.000185259,0.000185259
103,4551.38,1.17471,1.03237,1.23825,0.72825,0.87183,0.85123,0.51702,1.4453,0.97082,1.52694,0.000176094,0.000176094,0.000176094
104,4599.51,1.19135,1.02847,1.25078,0.76368,0.81087,0.83392,0.50382,1.43672,0.98133,1.53851,0.000166928,0.000166928,0.000166928
105,4644.48,1.17997,1.05604,1.24048,0.75799,0.82181,0.83689,0.50234,1.4245,0.99656,1.53678,0.000157762,0.000157762,0.000157762
106,4689.34,1.17991,1.03586,1.25169,0.74557,0.78644,0.81937,0.48763,1.444,1.02759,1.5467,0.000148596,0.000148596,0.000148596
107,4734.12,1.1658,1.02755,1.2345,0.73979,0.81111,0.83208,0.50009,1.44012,1.00399,1.53233,0.000139431,0.000139431,0.000139431
108,4777.37,1.18655,0.99784,1.24029,0.71036,0.81815,0.83295,0.48757,1.45808,1.02096,1.57644,0.000130265,0.000130265,0.000130265
109,4822.49,1.17142,1.00161,1.24002,0.7529,0.75392,0.82359,0.49159,1.44091,1.02166,1.55884,0.000121099,0.000121099,0.000121099
110,4867.23,1.16755,1.02516,1.22584,0.74594,0.79283,0.83964,0.50067,1.43464,1.00291,1.56573,0.000111933,0.000111933,0.000111933
111,4913.06,1.06661,0.81207,1.2367,0.75808,0.82414,0.82204,0.4818,1.44126,0.99835,1.55854,0.000102768,0.000102768,0.000102768
112,4957.64,1.06507,0.8201,1.24344,0.79388,0.79533,0.82393,0.47422,1.44864,1.00413,1.56237,9.36017e-05,9.36017e-05,9.36017e-05
113,5001.25,1.04724,0.78509,1.22954,0.77775,0.81053,0.82888,0.48782,1.43786,0.99835,1.58659,8.4436e-05,8.4436e-05,8.4436e-05
114,5044.31,1.03483,0.76062,1.22257,0.79085,0.79275,0.81731,0.47393,1.48189,1.01881,1.60222,7.52703e-05,7.52703e-05,7.52703e-05
115,5088.46,1.02901,0.75727,1.2205,0.77186,0.79362,0.82697,0.48939,1.43557,1.01013,1.57047,6.61045e-05,6.61045e-05,6.61045e-05
116,5132.08,1.03613,0.73531,1.2362,0.7676,0.79951,0.81826,0.48266,1.44385,1.00074,1.57784,5.69387e-05,5.69387e-05,5.69387e-05
117,5175.41,1.01769,0.73905,1.22186,0.79333,0.80809,0.82633,0.48863,1.43386,1.01238,1.56599,4.7773e-05,4.7773e-05,4.7773e-05
118,5219.44,0.99332,0.72619,1.20435,0.78537,0.80017,0.82168,0.48483,1.43431,1.01584,1.56332,3.86073e-05,3.86073e-05,3.86073e-05
119,5263.23,0.99397,0.72601,1.20247,0.73062,0.82549,0.81715,0.48882,1.43193,1.01333,1.56872,2.94415e-05,2.94415e-05,2.94415e-05
120,5306.86,0.99895,0.70726,1.21265,0.72858,0.84365,0.81883,0.48755,1.43462,1.00634,1.56957,2.02757e-05,2.02757e-05,2.02757e-05
